
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
4/15,8.521,8.563,11.043,9.732,9.626,9.477,8.466,8.018,9.532,8.081,8.129,8.858,8.900,8.995,10.908,10.094,9.473,8.355,10.049,8.390,9.062,9.067,9.900,9.488,10.323,9.483
4/16,8.593,8.617,11.128,9.844,9.767,9.422,8.598,8.048,9.835,8.573,8.171,8.958,8.825,9.091,10.684,10.171,9.507,8.544,10.253,8.526,9.221,9.179,10.158,9.706,10.500,9.729
4/17,8.685,8.747,11.398,9.990,9.800,9.336,8.456,8.037,9.988,9.048,8.280,8.986,8.850,9.233,10.883,10.150,9.640,8.751,10.414,8.858,9.490,9.229,10.304,NA,10.655,9.779
4/18,8.764,8.966,11.710,10.315,9.995,9.288,8.364,8.173,10.122,9.325,8.449,9.203,8.985,9.417,10.967,10.237,9.899,9.040,10.690,9.185,9.880,9.371,10.233,NA,11.291,9.817
4/19,8.952,9.097,11.924,10.627,9.966,9.337,8.597,8.223,10.310,9.489,8.485,9.377,9.055,9.597,11.060,10.348,9.963,9.248,10.760,9.165,10.076,9.242,10.221,NA,11.906,9.810
4/20,9.234,9.084,12.103,10.860,9.919,9.407,8.875,8.344,10.361,9.667,8.590,9.497,9.080,9.826,11.106,10.485,9.967,9.388,10.932,9.188,10.348,9.342,10.213,NA,12.038,10.005
4/21,9.508,9.410,12.128,10.929,10.001,9.513,9.178,8.355,10.124,9.872,8.749,9.563,9.156,10.100,11.207,10.595,9.962,9.515,11.083,9.320,10.609,9.542,10.267,NA,12.132,10.253
4/22,9.790,9.546,12.016,10.968,10.044,9.513,9.589,8.402,10.143,9.959,8.708,9.756,9.301,10.399,11.500,10.693,10.015,9.613,11.164,9.584,10.819,9.825,10.096,NA,11.827,10.459
4/23,9.890,9.723,11.890,10.854,9.966,9.659,9.934,8.546,10.275,9.857,8.712,9.947,9.450,10.500,11.570,10.896,9.865,9.607,11.056,9.976,10.882,9.954,9.838,NA,11.785,10.534
4/24,10.037,9.812,11.945,10.711,9.956,9.753,10.222,8.846,10.590,9.817,8.790,10.133,9.712,10.566,11.461,10.792,9.792,9.780,10.865,10.231,10.771,10.175,9.679,NA,11.961,10.707
4/25,10.337,9.944,11.869,10.693,9.990,9.955,10.471,9.035,10.820,9.889,9.040,10.171,9.843,10.671,11.656,10.617,9.850,10.128,10.813,10.539,10.865,10.475,9.683,8.700,12.060,10.717
4/26,10.683,10.067,11.743,10.904,10.030,10.277,10.560,9.070,11.003,9.936,9.390,10.295,9.824,10.977,11.969,10.597,9.823,10.583,10.932,10.619,10.930,10.800,9.700,8.467,12.456,10.717
4/27,10.868,10.118,11.786,11.315,9.949,10.638,10.614,9.199,11.075,9.908,9.497,10.600,10.021,11.306,12.185,10.658,9.848,10.869,10.925,10.540,11.258,10.681,9.913,8.550,12.659,11.050
4/28,10.925,10.239,11.973,11.708,9.995,10.832,10.806,9.293,11.264,9.978,9.673,10.823,10.266,11.524,12.097,10.745,9.968,11.123,10.884,10.511,11.687,10.635,10.096,8.500,12.880,11.263
